id,attraction_name,attraction_url,rating,review_count,rating_details,category,description,city,languages_count,images_folder,images_path,images_count,images_list,status
3496,Moroccan Highlights Tours,/Attraction_Review-g293734-d32883109-Reviews-Moroccan_Highlights_Tours-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Multi-day Tours,Marrakech,0,attractions_images/moroccan-highlights-tours/,[],0,[],NO_MATCH
3497,Vol en montgolfière à Marrakech,/Attraction_Review-g293734-d32880932-Reviews-Vol_en_montgolfiere_a_Marrakech-Marrakech_Marrakech_Safi.html,5.0,0,[],Balloon Rides,Balloon Rides Taxis & Shuttles,Marrakech,0,attractions_images/vol-en-montgolfière-à-marrakech/,[],0,[],NO_MATCH
3498,Luxury Maroc Voyage,/Attraction_Review-g293734-d32981818-Reviews-Luxury_Maroc_Voyage-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Multi-day Tours,Marrakech,0,attractions_images/luxury-maroc-voyage/,[],0,[],NO_MATCH
3499,Caravan Of Morocco,/Attraction_Review-g293734-d32990369-Reviews-Caravan_Of_Morocco-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Multi-day Tours,Marrakech,0,attractions_images/caravan-of-morocco/,[],0,[],NO_MATCH
3500,Mehagym,/Attraction_Review-g293734-d32990373-Reviews-Mehagym-Marrakech_Marrakech_Safi.html,5.0,0,[],Health Clubs,Health Clubs,Marrakech,0,attractions_images/mehagym/,[],0,[],NO_MATCH
3501,Hammam Semlalia,/Attraction_Review-g293734-d32971417-Reviews-Hammam_Semlalia-Marrakech_Marrakech_Safi.html,5.0,1,"[{""rating"": ""Excellent"", ""count"": 2}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Hammams &,Hammams & Turkish Baths,Marrakech,2,attractions_images/hammam-semlalia/,[],0,[],NO_MATCH
3502,heritage and frames,/Attraction_Review-g293734-d32975771-Reviews-Heritage_and_frames-Marrakech_Marrakech_Safi.html,5.0,0,[],Cooking Classes,Cooking Classes,Marrakech,0,attractions_images/heritage-and-frames/,[],0,[],NO_MATCH
3503,hyrosy,/Attraction_Review-g293734-d32977618-Reviews-Hyrosy-Marrakech_Marrakech_Safi.html,5.0,0,[],"4WD, ATV","4WD, ATV & Off-Road Tours Taxis & Shuttles",Marrakech,0,attractions_images/hyrosy/,[],0,[],NO_MATCH
3504,Morocco Tours.in,/Attraction_Review-g293734-d32897322-Reviews-Morocco_Tours_in-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Adrenaline & Extreme Tours,Marrakech,0,attractions_images/morocco-toursin/,[],0,[],NO_MATCH
3505,Go Atlas Mountains,/Attraction_Review-g488109-d32980974-Reviews-Go_Atlas_Mountains-Imlil_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Bike Tours,Imlil,0,attractions_images/go-atlas-mountains/,[],0,[],NO_MATCH
3506,Village Solaire - Essaouira,/Attraction_Review-g298349-d32908846-Reviews-Village_Solaire_Essaouira-Essaouira_Marrakech_Safi.html,5.0,0,[],Eco Tours,Eco Tours,Essaouira,0,attractions_images/village-solaire-essaouira/,[],0,[],NO_MATCH
3507,Marrakech Airport Transfers & Taxi,/Attraction_Review-g293734-d32989876-Reviews-Marrakech_Airport_Transfers_Taxi-Marrakech_Marrakech_Safi.html,5.0,0,[],Taxis &,Taxis & Shuttles,Marrakech,0,attractions_images/marrakech-airport-transfers-taxi/,[],0,[],NO_MATCH
3508,Youness transport VIP,/Attraction_Review-g293734-d32988998-Reviews-Youness_transport_VIP-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Multi-day Tours,Marrakech,0,attractions_images/youness-transport-vip/,[],0,[],NO_MATCH
3509,Widad,/Attraction_Review-g15276171-d32969725-Reviews-Widad-Agafay_Marrakech_Safi.html,5.0,0,[],Bike Tours,Bike Tours,Agafay,0,attractions_images/widad/,[],0,[],NO_MATCH
3510,Sabiza Quad Essaouira,/Attraction_Review-g298349-d32973547-Reviews-Sabiza_Quad_Essaouira-Essaouira_Marrakech_Safi.html,5.0,0,[],"4WD, ATV","4WD, ATV & Off-Road Tours",Essaouira,0,attractions_images/sabiza-quad-essaouira/,[],0,[],NO_MATCH
3511,Berber Soul Safaris,/Attraction_Review-g293734-d32973435-Reviews-Berber_Soul_Safaris-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Private Tours,Marrakech,0,attractions_images/berber-soul-safaris/,[],0,[],NO_MATCH
3512,Ifra,/Attraction_Review-g293734-d32975767-Reviews-Ifra-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Cultural Tours,Marrakech,0,attractions_images/ifra/,[],0,[],NO_MATCH
3513,Taouada Tours,/Attraction_Review-g293734-d32979317-Reviews-Taouada_Tours-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Taxis & Shuttles,Marrakech,0,attractions_images/taouada-tours/,[],0,[],NO_MATCH
3514,The Moroccan Travel,/Attraction_Review-g293734-d32895973-Reviews-The_Moroccan_Travel-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Hop-On Hop-Off Tours,Marrakech,0,attractions_images/the-moroccan-travel/,[],0,[],NO_MATCH
3515,Superdrive Marrakech,/Attraction_Review-g293734-d32896243-Reviews-Superdrive_Marrakech-Marrakech_Marrakech_Safi.html,5.0,0,[],"4WD, ATV","4WD, ATV & Off-Road Tours",Superdrive,0,attractions_images/superdrive-marrakech/,[],0,[],NO_MATCH
3516,Marrakesh,/Attraction_Review-g293734-d32959746-Reviews-Marrakesh-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours,Marrakech,0,attractions_images/marrakesh/,"[""cook-in-marrakesh-with-ahmed-and-hassan01.jpg"", ""cook-in-marrakesh-with-ahmed-and-hassan02.jpg"", ""cook-in-marrakesh-with-ahmed-and-hassan03.jpg"", ""cook-in-marrakesh-with-ahmed-and-hassan04.jpg"", ""cook-in-marrakesh-with-ahmed-and-hassan05.jpg""]",5,"['cook-in-marrakesh-with-ahmed-and-hassan01.jpg', 'cook-in-marrakesh-with-ahmed-and-hassan02.jpg', 'cook-in-marrakesh-with-ahmed-and-hassan03.jpg', 'cook-in-marrakesh-with-ahmed-and-hassan04.jpg', 'cook-in-marrakesh-with-ahmed-and-hassan05.jpg']",MATCHED
3517,Moroccotourstdo,/Attraction_Review-g293734-d32972379-Reviews-Moroccotourstdo-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Cultural Tours,Marrakech,0,attractions_images/moroccotourstdo/,[],0,[],NO_MATCH
3518,Spa Niss,/Attraction_Review-g293734-d32980979-Reviews-Spa_Niss-Marrakech_Marrakech_Safi.html,4.5,0,[],Spas,Spas,Marrakech,0,attractions_images/spa-niss/,[],0,[],NO_MATCH
3519,THE MIND VOYAGE CO,/Attraction_Review-g293734-d32978603-Reviews-THE_MIND_VOYAGE_CO-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Paint & Pottery Studios,Marrakech,0,attractions_images/the-mind-voyage-co/,[],0,[],NO_MATCH
3520,Morocco Travel Premium,/Attraction_Review-g293734-d32980989-Reviews-Morocco_Travel_Premium-Marrakech_Marrakech_Safi.html,5.0,0,[],Private Tours,Private Tours Day Trips,Marrakech,0,attractions_images/morocco-travel-premium/,[],0,[],NO_MATCH
