id,attraction_name,attraction_url,rating,review_count,rating_details,category,description,city,languages_count,images_folder,images_path,images_count,images_list,status
721,Travel Around Morocco,/Attraction_Review-g9786820-d12296103-Reviews-Travel_Around_Morocco-Ait_Azzi_Marrakech_Safi.html,5.0,58,"[{""rating"": ""Excellent"", ""count"": 57}, {""rating"": ""Very good"", ""count"": 2}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Nature &,Nature & Wildlife Tours,Ait Azzi,5,attractions_images/travel-around-morocco/,[],0,[],NO_MATCH
722,Morocco Tours Vip,/Attraction_Review-g293734-d17384424-Reviews-Morocco_Tours_Vip-Marrakech_Marrakech_Safi.html,5.0,72,"[{""rating"": ""Excellent"", ""count"": 71}, {""rating"": ""Very good"", ""count"": 2}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Cultural Tours,Cultural Tours Shopping Tours,Marrakech,11,attractions_images/morocco-tours-vip/,[],0,[],NO_MATCH
723,Les Bains de l'Alhambra,/Attraction_Review-g293734-d1523193-Reviews-Les_Bains_de_l_Alhambra-Marrakech_Marrakech_Safi.html,4.0,900,"[{""rating"": ""Excellent"", ""count"": 429}, {""rating"": ""Very good"", ""count"": 245}, {""rating"": ""Average"", ""count"": 107}, {""rating"": ""Poor"", ""count"": 55}, {""rating"": ""Terrible"", ""count"": 67}]",Spas,Spas,Marrakech,13,attractions_images/les-bains-de-lalhambra/,[],0,[],NO_MATCH
724,Atelier_Craft_Marrakech,/Attraction_Review-g293734-d26437452-Reviews-Atelier_Craft_Marrakech-Marrakech_Marrakech_Safi.html,5.0,40,"[{""rating"": ""Excellent"", ""count"": 40}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Paint &,Paint & Pottery Studios,Marrakech,4,attractions_images/atelier_craft_marrakech/,[],0,[],NO_MATCH
725,Terra Nomadic Travels,/Attraction_Review-g293734-d23989434-Reviews-Terra_Nomadic_Travels-Marrakech_Marrakech_Safi.html,5.0,49,"[{""rating"": ""Excellent"", ""count"": 47}, {""rating"": ""Very good"", ""count"": 2}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Historical &,Historical & Heritage Tours Hop-On Hop-Off Tours,Marrakech,5,attractions_images/terra-nomadic-travels/,"[""terra-nomadic-travels01.jpg"", ""terra-nomadic-travels02.jpg"", ""terra-nomadic-travels03.jpg"", ""terra-nomadic-travels04.jpg"", ""terra-nomadic-travels05.jpg""]",5,"['terra-nomadic-travels01.jpg', 'terra-nomadic-travels02.jpg', 'terra-nomadic-travels03.jpg', 'terra-nomadic-travels04.jpg', 'terra-nomadic-travels05.jpg']",MATCHED
726,HadiaTravel Marrakech,/Attraction_Review-g293734-d13368820-Reviews-HadiaTravel_Marrakech-Marrakech_Marrakech_Safi.html,5.0,93,"[{""rating"": ""Excellent"", ""count"": 90}, {""rating"": ""Very good"", ""count"": 2}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Multi-day Tours,Marrakech,10,attractions_images/hadiatravel-marrakech/,[],0,[],NO_MATCH
727,Atlas Mountains Treks,/Attraction_Review-g293734-d12583466-Reviews-Atlas_Mountains_Treks-Marrakech_Marrakech_Safi.html,5.0,64,"[{""rating"": ""Excellent"", ""count"": 65}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours Walking Tours,Marrakech,5,attractions_images/atlas-mountains-treks/,[],0,[],NO_MATCH
728,Myartrans,/Attraction_Review-g293734-d12516947-Reviews-Myartrans-Marrakech_Marrakech_Safi.html,5.0,70,"[{""rating"": ""Excellent"", ""count"": 70}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Multi-day Tours,Marrakech,7,attractions_images/myartrans/,[],0,[],NO_MATCH
729,Morocco Experience Travel,/Attraction_Review-g293734-d26217183-Reviews-Morocco_Experience_Travel-Marrakech_Marrakech_Safi.html,5.0,42,"[{""rating"": ""Excellent"", ""count"": 41}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours Private Tours,Marrakech,8,attractions_images/morocco-experience-travel/,"[""morocco-experience-travel01.jpg"", ""morocco-experience-travel02.jpg"", ""morocco-experience-travel03.jpg"", ""morocco-experience-travel04.jpg"", ""morocco-experience-travel05.jpg""]",5,"['morocco-experience-travel01.jpg', 'morocco-experience-travel02.jpg', 'morocco-experience-travel03.jpg', 'morocco-experience-travel04.jpg', 'morocco-experience-travel05.jpg']",MATCHED
730,Tanzgha Trips,/Attraction_Review-g1847424-d28983334-Reviews-Tanzgha_Trips-Ourika_Marrakech_Safi.html,5.0,51,"[{""rating"": ""Excellent"", ""count"": 45}, {""rating"": ""Very good"", ""count"": 4}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Adrenaline &,Adrenaline & Extreme Tours Day Trips,Ourika,2,attractions_images/tanzgha-trips/,[],0,[],NO_MATCH
731,Excursion En Marruecos,/Attraction_Review-g293734-d25389558-Reviews-Excursion_En_Marruecos-Marrakech_Marrakech_Safi.html,5.0,41,"[{""rating"": ""Excellent"", ""count"": 41}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]","4WD, ATV","4WD, ATV & Off-Road Tours Sightseeing Tours",Marrakech,3,attractions_images/excursion-en-marruecos/,[],0,[],NO_MATCH
732,Marrakech Guide Advisor,/Attraction_Review-g293734-d28572272-Reviews-Marrakech_Guide_Advisor-Marrakech_Marrakech_Safi.html,5.0,36,"[{""rating"": ""Excellent"", ""count"": 41}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Shopping Tours,Marrakech,3,attractions_images/marrakech-guide-advisor/,[],0,[],NO_MATCH
733,Abdo Service Marrakech,/Attraction_Review-g293734-d25287252-Reviews-Abdo_Service_Marrakech-Marrakech_Marrakech_Safi.html,5.0,39,"[{""rating"": ""Excellent"", ""count"": 38}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours Taxis & Shuttles,Marrakech,6,attractions_images/abdo-service-marrakech/,[],0,[],NO_MATCH
734,Morocco Caravan Tours and Travel Company,/Attraction_Review-g293734-d6650668-Reviews-Morocco_Caravan_Tours_and_Travel_Company-Marrakech_Marrakech_Safi.html,5.0,118,"[{""rating"": ""Excellent"", ""count"": 113}, {""rating"": ""Very good"", ""count"": 5}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Cultural Tours,Cultural Tours Historical & Heritage Tours,Marrakech,8,attractions_images/morocco-caravan-tours-and-travel-company/,[],0,[],NO_MATCH
735,Marrakech Surf & Snow,/Attraction_Review-g293734-d5569973-Reviews-Marrakech_Surf_Snow-Marrakech_Marrakech_Safi.html,5.0,156,"[{""rating"": ""Excellent"", ""count"": 150}, {""rating"": ""Very good"", ""count"": 3}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 3}]",Ski &,Ski & Snow Tours Surfing & Windsurfing,Marrakech,8,attractions_images/marrakech-surf-snow/,[],0,[],NO_MATCH
736,Click Spa Marrakech,/Attraction_Review-g293734-d12621156-Reviews-Click_Spa_Marrakech-Marrakech_Marrakech_Safi.html,4.5,265,"[{""rating"": ""Excellent"", ""count"": 194}, {""rating"": ""Very good"", ""count"": 27}, {""rating"": ""Average"", ""count"": 14}, {""rating"": ""Poor"", ""count"": 7}, {""rating"": ""Terrible"", ""count"": 24}]",Spas,Spas,Marrakech,10,attractions_images/click-spa-marrakech/,"[""click-spa-marrakech01.jpg"", ""click-spa-marrakech02.jpg"", ""click-spa-marrakech03.jpg"", ""click-spa-marrakech04.jpg"", ""click-spa-marrakech05.jpg""]",5,"['click-spa-marrakech01.jpg', 'click-spa-marrakech02.jpg', 'click-spa-marrakech03.jpg', 'click-spa-marrakech04.jpg', 'click-spa-marrakech05.jpg']",MATCHED
737,2R Pure Travel,/Attraction_Review-g293734-d16923223-Reviews-2R_Pure_Travel-Marrakech_Marrakech_Safi.html,5.0,65,"[{""rating"": ""Excellent"", ""count"": 67}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 1}]",Multi-day Tours,Multi-day Tours Adrenaline & Extreme Tours,Marrakech,7,attractions_images/2r-pure-travel/,[],0,[],NO_MATCH
738,SAHARANSKY MOROCCO DMC,/Attraction_Review-g293734-d26219476-Reviews-SAHARANSKY_MOROCCO_DMC-Marrakech_Marrakech_Safi.html,5.0,39,"[{""rating"": ""Excellent"", ""count"": 39}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Multi-day Tours,Marrakech,3,attractions_images/saharansky-morocco-dmc/,[],0,[],NO_MATCH
739,Fabulous Morocco Tours,/Attraction_Review-g293734-d26208906-Reviews-Fabulous_Morocco_Tours-Marrakech_Marrakech_Safi.html,5.0,40,"[{""rating"": ""Excellent"", ""count"": 40}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours Taxis & Shuttles,Marrakech,5,attractions_images/fabulous-morocco-tours/,[],0,[],NO_MATCH
740,Hammam Ziani,/Attraction_Review-g293734-d639679-Reviews-Hammam_Ziani-Marrakech_Marrakech_Safi.html,4.0,1649,"[{""rating"": ""Excellent"", ""count"": 800}, {""rating"": ""Very good"", ""count"": 430}, {""rating"": ""Average"", ""count"": 135}, {""rating"": ""Poor"", ""count"": 100}, {""rating"": ""Terrible"", ""count"": 189}]",Spas,Spas,Marrakech,18,attractions_images/hammam-ziani/,[],0,[],NO_MATCH
741,Dream adventure,/Attraction_Review-g293734-d26688890-Reviews-Dream_adventure-Marrakech_Marrakech_Safi.html,5.0,36,"[{""rating"": ""Excellent"", ""count"": 39}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]","4WD, ATV","4WD, ATV & Off-Road Tours",Marrakech,7,attractions_images/dream-adventure/,[],0,[],NO_MATCH
742,Goldmoon Tour,/Attraction_Review-g293734-d27514268-Reviews-Goldmoon_Tour-Marrakech_Marrakech_Safi.html,5.0,37,"[{""rating"": ""Excellent"", ""count"": 38}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours Sightseeing Tours,Marrakech,5,attractions_images/goldmoon-tour/,"[""goldmoon-tour01.jpg"", ""goldmoon-tour02.jpg"", ""goldmoon-tour03.jpg"", ""goldmoon-tour04.jpg"", ""goldmoon-tour05.jpg""]",5,"['goldmoon-tour01.jpg', 'goldmoon-tour02.jpg', 'goldmoon-tour03.jpg', 'goldmoon-tour04.jpg', 'goldmoon-tour05.jpg']",MATCHED
743,TOUBKAL TREK AZDOUR,/Attraction_Review-g293734-d31516536-Reviews-TOUBKAL_TREK_AZDOUR-Marrakech_Marrakech_Safi.html,5.0,35,"[{""rating"": ""Excellent"", ""count"": 38}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours,Marrakech,3,attractions_images/toubkal-trek-azdour/,"[""toubkal-trek-azdour01.jpg"", ""toubkal-trek-azdour02.jpg"", ""toubkal-trek-azdour03.jpg"", ""toubkal-trek-azdour04.jpg"", ""toubkal-trek-azdour05.jpg""]",5,"['toubkal-trek-azdour01.jpg', 'toubkal-trek-azdour02.jpg', 'toubkal-trek-azdour03.jpg', 'toubkal-trek-azdour04.jpg', 'toubkal-trek-azdour05.jpg']",MATCHED
744,Morocco Meeting tours,/Attraction_Review-g293734-d26527139-Reviews-Morocco_Meeting_tours-Marrakech_Marrakech_Safi.html,5.0,39,"[{""rating"": ""Excellent"", ""count"": 39}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Multi-day Tours,Marrakech,5,attractions_images/morocco-meeting-tours/,[],0,[],NO_MATCH
745,Morocco Sightseeing Tours,/Attraction_Review-g293734-d15555451-Reviews-Morocco_Sightseeing_Tours-Marrakech_Marrakech_Safi.html,5.0,68,"[{""rating"": ""Excellent"", ""count"": 69}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours Historical & Heritage Tours,Marrakech,4,attractions_images/morocco-sightseeing-tours/,[],0,[],NO_MATCH
746,Marrakech Camel Tours,/Attraction_Review-g293734-d12219791-Reviews-Marrakech_Camel_Tours-Marrakech_Marrakech_Safi.html,5.0,73,"[{""rating"": ""Excellent"", ""count"": 74}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Multi-day Tours,Marrakech,7,attractions_images/marrakech-camel-tours/,[],0,[],NO_MATCH
747,Hammam Nilo,/Attraction_Review-g293734-d27111013-Reviews-Hammam_Nilo-Marrakech_Marrakech_Safi.html,4.5,70,"[{""rating"": ""Excellent"", ""count"": 64}, {""rating"": ""Very good"", ""count"": 6}, {""rating"": ""Average"", ""count"": 4}, {""rating"": ""Poor"", ""count"": 1}, {""rating"": ""Terrible"", ""count"": 2}]",Arab Baths,Arab Baths,Marrakech,7,attractions_images/hammam-nilo/,[],0,[],NO_MATCH
748,Fat Car Marrakech,/Attraction_Review-g293734-d12403533-Reviews-Fat_Car_Marrakech-Marrakech_Marrakech_Safi.html,5.0,112,"[{""rating"": ""Excellent"", ""count"": 103}, {""rating"": ""Very good"", ""count"": 5}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 4}]",Taxis &,Taxis & Shuttles,Marrakech,7,attractions_images/fat-car-marrakech/,[],0,[],NO_MATCH
749,Morocco Tour Expert,/Attraction_Review-g293734-d19246764-Reviews-Morocco_Tour_Expert-Marrakech_Marrakech_Safi.html,5.0,47,"[{""rating"": ""Excellent"", ""count"": 47}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours Private Tours,Marrakech,3,attractions_images/morocco-tour-expert/,[],0,[],NO_MATCH
750,Marruecos Sahara Tour,/Attraction_Review-g293734-d14155860-Reviews-Marruecos_Sahara_Tour-Marrakech_Marrakech_Safi.html,5.0,62,"[{""rating"": ""Excellent"", ""count"": 61}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Multi-day Tours,Marrakech,3,attractions_images/marruecos-sahara-tour/,"[""sahara01.jpg"", ""sahara02.jpg"", ""sahara03.jpg"", ""sahara04.jpg"", ""sahara05.jpg""]",5,"['sahara01.jpg', 'sahara02.jpg', 'sahara03.jpg', 'sahara04.jpg', 'sahara05.jpg']",MATCHED
751,Spa AK by Riad Al Ksar,/Attraction_Review-g293734-d8650736-Reviews-Spa_AK_by_Riad_Al_Ksar-Marrakech_Marrakech_Safi.html,4.5,93,"[{""rating"": ""Excellent"", ""count"": 78}, {""rating"": ""Very good"", ""count"": 11}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 1}, {""rating"": ""Terrible"", ""count"": 3}]",Spas,Spas,Marrakech,8,attractions_images/spa-ak-by-riad-al-ksar/,[],0,[],NO_MATCH
752,Morocco Luxe Tours,/Attraction_Review-g293734-d21534265-Reviews-Morocco_Luxe_Tours-Marrakech_Marrakech_Safi.html,5.0,429,"[{""rating"": ""Excellent"", ""count"": 397}, {""rating"": ""Very good"", ""count"": 22}, {""rating"": ""Average"", ""count"": 5}, {""rating"": ""Poor"", ""count"": 4}, {""rating"": ""Terrible"", ""count"": 6}]",Multi-day Tours,Multi-day Tours Climbing Tours,Marrakech,11,attractions_images/morocco-luxe-tours/,[],0,[],NO_MATCH
753,Agafay transfert,/Attraction_Review-g15276171-d17582324-Reviews-Agafay_transfert-Agafay_Marrakech_Safi.html,5.0,39,"[{""rating"": ""Excellent"", ""count"": 41}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Taxis &,Taxis & Shuttles,Agafay,4,attractions_images/agafay-transfert/,[],0,[],NO_MATCH
754,Marrakech Around Tours,/Attraction_Review-g293734-d12454395-Reviews-Marrakech_Around_Tours-Marrakech_Marrakech_Safi.html,5.0,79,"[{""rating"": ""Excellent"", ""count"": 72}, {""rating"": ""Very good"", ""count"": 3}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 2}, {""rating"": ""Terrible"", ""count"": 1}]",City Tours,City Tours Cultural Tours,Marrakech,10,attractions_images/marrakech-around-tours/,[],0,[],NO_MATCH
755,Le Bain Bleu,/Attraction_Review-g293734-d1936398-Reviews-Le_Bain_Bleu-Marrakech_Marrakech_Safi.html,4.0,696,"[{""rating"": ""Excellent"", ""count"": 352}, {""rating"": ""Very good"", ""count"": 168}, {""rating"": ""Average"", ""count"": 70}, {""rating"": ""Poor"", ""count"": 60}, {""rating"": ""Terrible"", ""count"": 50}]",Spas,Spas,Marrakech,10,attractions_images/le-bain-bleu/,[],0,[],NO_MATCH
756,Oyazzou Morocco Tours,/Attraction_Review-g293734-d27111793-Reviews-Oyazzou_Morocco_Tours-Marrakech_Marrakech_Safi.html,5.0,41,"[{""rating"": ""Excellent"", ""count"": 38}, {""rating"": ""Very good"", ""count"": 2}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Private Tours,Private Tours,Marrakech,6,attractions_images/oyazzou-morocco-tours/,[],0,[],NO_MATCH
757,Royal Golf Marrakech,/Attraction_Review-g293734-d1977104-Reviews-Royal_Golf_Marrakech-Marrakech_Marrakech_Safi.html,4.0,374,"[{""rating"": ""Excellent"", ""count"": 150}, {""rating"": ""Very good"", ""count"": 144}, {""rating"": ""Average"", ""count"": 52}, {""rating"": ""Poor"", ""count"": 19}, {""rating"": ""Terrible"", ""count"": 11}]",Golf Courses,Golf Courses,Marrakech,10,attractions_images/royal-golf-marrakech/,[],0,[],NO_MATCH
758,Essaouira Dreamers,/Attraction_Review-g298349-d26223350-Reviews-Essaouira_Dreamers-Essaouira_Marrakech_Safi.html,5.0,38,"[{""rating"": ""Excellent"", ""count"": 40}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Horseback Riding,Horseback Riding Tours,Essaouira,7,attractions_images/essaouira-dreamers/,[],0,[],NO_MATCH
759,Mille Et Une Nuit,/Attraction_Review-g293734-d23708284-Reviews-Mille_Et_Une_Nuit-Marrakech_Marrakech_Safi.html,5.0,50,"[{""rating"": ""Excellent"", ""count"": 50}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Spas,Spas,Marrakech,4,attractions_images/mille-et-une-nuit/,[],0,[],NO_MATCH
760,Omaroc Taxi,/Attraction_Review-g298349-d19185189-Reviews-Omaroc_Taxi-Essaouira_Marrakech_Safi.html,5.0,63,"[{""rating"": ""Excellent"", ""count"": 61}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 1}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Multi-day Tours,Essaouira,5,attractions_images/omaroc-taxi/,[],0,[],NO_MATCH
761,Morkosh Tours,/Attraction_Review-g293734-d2461966-Reviews-Morkosh_Tours-Marrakech_Marrakech_Safi.html,5.0,163,"[{""rating"": ""Excellent"", ""count"": 149}, {""rating"": ""Very good"", ""count"": 6}, {""rating"": ""Average"", ""count"": 3}, {""rating"": ""Poor"", ""count"": 1}, {""rating"": ""Terrible"", ""count"": 4}]",City Tours,City Tours Multi-day Tours,Marrakech,7,attractions_images/morkosh-tours/,[],0,[],NO_MATCH
762,Mountain Sahara Treks,/Attraction_Review-g488109-d11979185-Reviews-Mountain_Sahara_Treks-Imlil_Marrakech_Safi.html,5.0,56,"[{""rating"": ""Excellent"", ""count"": 55}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Adrenaline &,Adrenaline & Extreme Tours Air Tours,Imlil,7,attractions_images/mountain-sahara-treks/,"[""sahara01.jpg"", ""sahara02.jpg"", ""sahara03.jpg"", ""sahara04.jpg"", ""sahara05.jpg""]",5,"['sahara01.jpg', 'sahara02.jpg', 'sahara03.jpg', 'sahara04.jpg', 'sahara05.jpg']",MATCHED
763,Adventure Culture Morocco,/Attraction_Review-g293734-d15325730-Reviews-Adventure_Culture_Morocco-Marrakech_Marrakech_Safi.html,5.0,52,"[{""rating"": ""Excellent"", ""count"": 52}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Multi-day Tours,Marrakech,5,attractions_images/adventure-culture-morocco/,[],0,[],NO_MATCH
764,Moroccotravellinks,/Attraction_Review-g293734-d24097573-Reviews-Moroccotravellinks-Marrakech_Marrakech_Safi.html,5.0,46,"[{""rating"": ""Excellent"", ""count"": 46}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]","4WD, ATV","4WD, ATV & Off-Road Tours Taxis & Shuttles",Marrakech,5,attractions_images/moroccotravellinks/,[],0,[],NO_MATCH
765,Morocco Land Tours,/Attraction_Review-g293734-d8046813-Reviews-Morocco_Land_Tours-Marrakech_Marrakech_Safi.html,5.0,56,"[{""rating"": ""Excellent"", ""count"": 56}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours Cultural Tours,Marrakech,5,attractions_images/morocco-land-tours/,[],0,[],NO_MATCH
766,My Travel Tours Morocco,/Attraction_Review-g293734-d25420626-Reviews-My_Travel_Tours_Morocco-Marrakech_Marrakech_Safi.html,5.0,39,"[{""rating"": ""Excellent"", ""count"": 38}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Multi-day Tours,Multi-day Tours Private Tours,Marrakech,3,attractions_images/my-travel-tours-morocco/,[],0,[],NO_MATCH
767,Best Service Marrakech,/Attraction_Review-g293734-d28048693-Reviews-Best_Service_Marrakech-Marrakech_Marrakech_Safi.html,5.0,47,"[{""rating"": ""Excellent"", ""count"": 59}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 1}]",Taxis &,Taxis & Shuttles,Marrakech,7,attractions_images/best-service-marrakech/,[],0,[],NO_MATCH
768,Essaouira wavescape,/Attraction_Review-g298349-d26680902-Reviews-Essaouira_wavescape-Essaouira_Marrakech_Safi.html,5.0,38,"[{""rating"": ""Excellent"", ""count"": 38}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Surfing &,Surfing & Windsurfing Gear Rentals,Essaouira,4,attractions_images/essaouira-wavescape/,[],0,[],NO_MATCH
769,Morocco Trips Guide,/Attraction_Review-g293734-d27803364-Reviews-Morocco_Trips_Guide-Marrakech_Marrakech_Safi.html,5.0,34,"[{""rating"": ""Excellent"", ""count"": 37}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",City Tours,City Tours Multi-day Tours,Marrakech,5,attractions_images/morocco-trips-guide/,[],0,[],NO_MATCH
770,Marrakech Tours,/Attraction_Review-g293734-d19426395-Reviews-Marrakech_Tours-Marrakech_Marrakech_Safi.html,5.0,41,"[{""rating"": ""Excellent"", ""count"": 42}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]","4WD, ATV","4WD, ATV & Off-Road Tours Safaris",Marrakech,5,attractions_images/marrakech-tours/,"[""afro-marrakech-tours01.jpg"", ""afro-marrakech-tours02.jpg"", ""afro-marrakech-tours03.jpg"", ""afro-marrakech-tours04.jpg"", ""afro-marrakech-tours05.jpg""]",5,"['afro-marrakech-tours01.jpg', 'afro-marrakech-tours02.jpg', 'afro-marrakech-tours03.jpg', 'afro-marrakech-tours04.jpg', 'afro-marrakech-tours05.jpg']",MATCHED
771,Massage Naturel et Calme,/Attraction_Review-g298349-d2062506-Reviews-Massage_Naturel_et_Calme-Essaouira_Marrakech_Safi.html,4.5,112,"[{""rating"": ""Excellent"", ""count"": 89}, {""rating"": ""Very good"", ""count"": 16}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 4}, {""rating"": ""Terrible"", ""count"": 2}]",Spas,Spas,Essaouira,5,attractions_images/massage-naturel-et-calme/,[],0,[],NO_MATCH
